MD,INC,AZI
0,0,0
10,0.06,18.41
20,0.19,327.7
30,0.13,0.4
40,0.21,249.21
50,0.11,160.27
60,0.28,181.32
70,0.21,139
80,0.57,181.58
90,0.63,175.31
100,0.92,150.81
110,1.13,127.08
120,1.29,120.94
130,1.81,120.15
140,2.17,113.27
150,2.28,108.03
155,2.27,100.29
168,2.51,106.13
196,2.99,109.56
224,3.52,122.32
251,4.49,129.1
280,4.66,137.46
309,5.24,147.93
329,5.39,153.91
357,5.54,155.07
385,5.67,157.39
413,5.73,153.71
442,5.51,151.02
470,4.87,148.21
498,4.68,144.66
526,4.92,145.39
553,4.45,145.52
581,4.7,145.97
637,6.49,167.25
667,8.15,174.9
695,9.64,178.58
723,9.91,180.03
750,9.79,183.26
779,9.78,190.76
807,9.93,196.41
835,9.92,200.86
863,10.12,205.32
892,10.12,206.75
919,9.93,207.1
948,9.86,204.43
976,9.52,196.76
1004,9.93,198.84
1033,9.88,198.72
1061,10,199.76
1089,9.98,201.34
1118,9.81,203.2
1147,9.97,205.88
1175,9.82,207.33
1202,10.09,207.31
1230,10.08,206.84
1258,9.94,207.9
1287,10.12,206.48
1315,10.21,204.61
1342,9.66,200.62
1371,9.73,199.04
1399,9.55,197.22
1427,9.63,197.24
1456,9.56,196.16
1485,9.46,196.83
1513,9.4,198.08
1542,9.6,201.49
1570,9.42,201.84
1607,9.29,200.9
1636,9.44,201.8
1663,9.58,202.15
1692,9.56,203.25
1721,9.4,204.54
1749,9.36,205.39
1778,9.44,203.89
1806,9.31,204.21
1835,9.32,204.62
1864,9.37,204.77
1892,9.42,203.27
1921,9.41,203.95
1950,9.47,204.6
1978,9.37,203.75
2007,9.38,202.52
2035,9.43,201.23
2064,9.47,200.4
2092,9.38,199.82
2120,9.5,197.92
2149,9.8,197.74
2177,9.8,198.05
2205,9.78,198.3
2234,9.81,198.79
2262,9.84,199.05
2291,9.86,200.13
2320,9.85,201.05
2348,9.88,200.92
2376,10.07,200.1
2405,10.24,199.44
2434,10.37,199.28
2463,10.37,197.92
2491,10.28,197.49
2520,10.33,198.19
2549,10.3,198.56
2577,10.29,198.99
2606,10.36,199.35
2634,10.47,200.41
2663,10.47,200.97
2692,10.44,201.26
2720,10.49,202.43
2749,10.49,203.31
2777,10.31,202.61
2806,9.89,202.51
2835,9.26,201.55
2864,10.23,201.9
2892,9.89,201.24
2921,9.99,200.27
2963,10.28,201.82
2992,10.58,199.64
3020,10.47,196.56
3075,10.99,197.36
3105,11.37,198.25
3135,10.8,199.65
3165,10.6,200.2
3194,10.6,200.47
3224,10.42,200.43
3253,10.61,198.63
3282,10.53,196.87
3312,10.48,195.06
3342,10.46,192.9
3371,10.26,190.87
3400,10.78,186.7
3430,11.13,181.14
3460,11.19,174.93
3490,11.21,170.4
3519,10.56,164.97
3549,9.78,154.66
3579,9.17,134.73
3609,8.65,119.96
3638,8.9,111.64
3668,9.3,104.35
3697,9.9,98.62
3727,10.28,91.89
3757,10.36,83.71
3786,10.31,76.11
3815,10.26,72.56
3844,10.37,70.76
3872,10.38,71.07
3901,10.6,68.84
3929,10.91,64.83
3958,11.47,60.65
3986,13.64,57
4015,16.66,53.66
4042,19.08,51.57
4060,19.08,51.57
4097,19.53,45.35
4126,21.45,40.1
4154,24.88,40.56
4186,29.7,40.55
4216,30.94,38.3
4246,35.26,36.89
4275,38.85,35.56
4305,43.08,37.16
4334,46.25,40.03
4363,49.63,40.24
4393,54.21,40
4420,57.03,36.89
4448,58.49,36.97
4477,58.67,37.18
4534,58.89,37.3
4564,60.12,36.71
4579,60.97,36.3
4609,65.75,35.31
4640,71.73,34.91
4669,75.59,35.91
4699,79.57,36.11
4729,83.44,35.77
4759,87.28,36.04
4789,88.27,36.65
4819,88.83,37.36
4848,88.4,37.72
4878,88.21,37.38
4908,88.15,37.4
4938,88.52,37.19
4967,88.58,37.27
4997,88.52,37.22
5026,88.46,37.23
5056,88.02,37.57
5086,87.9,37.81
5116,88.09,38.55
5149,88.09,38.55
